STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
lorcle	7978.98	623.00	1440.12	85.40	82.67	2.25
lormes	9831.47	1137.67	1491.58	176.20	144.26	10.25
lormon	5737.73	510.00	1083.93	65.80	129.74	5.50
loubed	9223.98	912.17	2568.87	232.40	48.65	11.00
louige	7503.20	593.00	846.74	50.00	11.96	1.75
louion	6286.26	559.50	1165.08	62.40	118.55	5.75
loumic	3902.14	394.83	797.87	53.60	16.41	2.25
louple	7401.38	566.67	1901.15	86.20	479.78	7.25
louton	5654.92	501.00	1135.71	67.20	46.55	7.25
lubicy	5109.23	485.17	401.97	29.20	42.21	2.25
mabose	6593.30	557.33	825.07	53.60	91.54	5.00
mabtld	7767.43	685.83	874.07	45.80	6.78	0.50
maiele	8384.35	714.83	1531.95	104.80	18.52	2.25
mallle	7685.12	661.00	1696.82	122.00	153.12	11.00
mamory	6197.53	566.33	998.11	68.80	80.70	2.75
marery	7075.72	681.00	1183.25	122.80	136.58	12.50
marety	6716.04	681.67	1027.51	98.80	148.27	11.00
marger	9464.66	989.83	2182.00	224.00	300.91	23.75
marmes	9857.26	1187.67	1507.26	200.40	165.42	15.25
maroue	7441.50	634.67	941.81	85.40	88.26	8.25
maroul	5663.10	538.00	909.60	83.40	88.32	8.50
mashly	6530.45	587.67	1171.66	95.80	63.95	11.50
masice	7824.47	671.67	1091.47	75.80	265.96	9.75
mathin	5461.93	499.50	1241.19	65.40	443.15	6.50
mattle	8753.67	681.17	2256.26	118.40	837.26	21.00
maugef	7373.75	804.67	644.43	72.00	48.59	3.75
mawase	6194.08	562.33	705.25	49.80	41.64	1.75
maywal	3869.95	416.00	648.71	51.00	31.59	1.75
mecant	6778.12	544.67	820.41	58.00	106.34	8.25
mecoom	5569.11	422.83	744.61	37.00	203.50	3.00
meeeer	10037.41	956.67	1868.28	169.00	15.60	1.00
mehans	7075.82	759.00	360.92	55.40	25.94	6.50
mehore	7363.86	513.67	1093.74	42.20	258.70	3.50
mempld	8018.29	607.50	958.07	40.80	155.04	5.00
merong	7454.21	565.67	1508.45	108.20	140.09	7.50
midist	5580.32	517.17	563.23	73.20	99.72	11.75
mieted	9665.37	958.17	2609.69	265.00	269.38	31.25
mifugs	5561.12	615.17	480.52	26.60	3.66	1.00
mignch	3983.14	361.33	518.68	48.00	80.35	6.25
mikith	4764.67	453.17	420.42	39.00	4.57	2.50
milies	9884.60	1175.00	1175.77	179.60	186.24	21.50
mindld	7059.06	626.00	771.44	69.80	99.37	10.00
mirkly	6377.34	572.83	943.90	73.40	22.46	3.25
mocely	7081.01	610.00	1541.11	85.00	190.81	10.25
mohors	6461.72	718.67	1001.35	72.40	26.56	6.75
moller	8915.76	926.50	2458.06	218.60	319.67	28.50
moltet	9145.95	906.67	1435.06	116.20	15.99	6.25
mommey	8343.51	854.17	806.39	63.20	169.52	8.00
monaks	5945.34	776.83	689.93	63.80	80.61	5.75
monghe	6131.97	544.00	864.88	57.00	140.70	4.75
monnte	6844.19	613.50	862.53	65.20	73.40	2.75
mopore	6901.22	554.67	1212.77	51.80	297.70	3.50
morghs	6283.22	767.33	865.39	61.80	47.00	8.50
mosese	7218.25	605.67	878.57	65.80	27.50	4.00
mosise	7749.71	649.67	880.96	71.40	61.44	10.25
motist	7105.64	588.67	1044.15	80.60	229.66	12.50
mottls	8297.33	843.33	1434.25	84.80	491.13	10.50
mought	4710.68	448.83	1046.98	51.20	311.70	15.75
mouray	5154.07	538.83	964.06	57.80	209.30	9.75
mourct	5249.30	473.17	1083.30	50.80	265.28	8.00
mudeck	3611.85	366.33	361.19	29.00	2.11	1.75
mufous	4998.33	632.50	491.37	34.80	22.35	3.75
muping	5525.38	517.00	1784.04	143.80	958.70	70.75
murged	9218.73	941.67	2377.18	255.40	115.43	25.00
myscet	6620.74	680.50	592.18	42.60	69.04	1.75
mystle	6510.55	485.00	1499.22	79.20	504.57	12.75
mysure	5561.21	398.00	899.46	25.40	256.89	6.50
nakess	5823.50	732.33	443.54	30.80	62.11	4.75
nanker	8459.20	917.17	2168.21	212.40	64.95	26.75
nasaty	5086.40	567.67	450.00	58.80	5.27	1.50
naufin	3859.59	440.00	304.64	33.40	3.67	2.00
neanes	9888.17	1127.83	1593.41	189.60	110.89	13.00
neangh	5252.32	422.50	1120.31	57.60	137.95	6.25
nimeay	4863.10	492.67	365.48	33.00	1.53	2.00
nipeed	8899.59	901.33	2076.25	213.40	91.04	5.25
nocher	8347.32	820.83	2038.81	169.40	468.21	15.25
noitly	6613.43	593.67	1238.07	69.60	71.76	6.00
norict	6808.52	586.50	990.91	67.80	76.24	5.00
normer	8895.06	902.67	2015.08	182.80	224.44	12.25
noroue	6918.86	559.17	720.03	55.40	39.16	3.00
novide	6579.90	541.17	611.35	32.80	180.89	5.00
nubose	5042.04	415.50	640.08	32.20	25.57	3.75
nuitus	4938.57	687.33	280.34	31.20	27.63	2.75
nummon	3502.58	347.67	675.65	45.00	211.63	7.25
nunair	4266.71	496.00	267.80	34.00	18.87	2.75
nurind	7686.52	684.17	1940.45	123.60	358.80	13.00
nurome	5858.89	475.17	841.97	43.80	170.57	2.50
nurost	5061.17	444.83	955.57	61.60	238.58	3.50
