STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
mysers	5429.89	661.67	784.88	85.40	364.71	37.75
mysted	8635.89	838.33	2806.25	263.00	602.99	45.25
mystem	6576.76	678.50	1080.44	81.00	404.52	15.50
mysten	7202.82	726.83	1265.27	102.20	371.68	19.75
mystle	6510.55	485.00	1499.22	79.20	504.57	12.75
nather	8971.46	875.33	2654.22	180.60	1134.04	19.25
nathin	4995.29	458.83	1059.09	48.00	431.93	5.50
natted	10412.36	993.83	3381.20	284.80	730.79	53.75
natual	5188.02	459.50	939.25	50.80	223.74	4.50
neaded	9972.54	954.17	2623.17	259.20	266.16	25.75
neason	5411.90	487.00	1064.03	66.80	363.40	9.25
neaven	8218.17	814.67	977.38	88.60	190.29	15.25
neeing	6988.19	565.33	1961.52	142.80	1022.62	69.25
neemer	8697.51	846.83	1898.59	166.40	334.33	7.50
neemes	9137.06	1056.33	1169.00	154.00	280.12	6.25
nermit	5738.29	491.33	484.05	43.60	60.52	5.25
nigway	3410.77	382.17	265.14	25.80	45.78	3.75
nobour	4943.16	459.50	435.09	31.40	243.15	6.75
noders	6234.09	755.83	762.89	98.60	339.91	39.25
nodies	9672.29	1147.50	1074.96	164.20	199.38	17.75
noring	7185.74	621.17	2304.21	173.00	1118.30	74.00
norked	9793.47	961.67	2671.72	263.60	549.88	33.00
norket	8677.99	863.33	1134.26	102.60	263.49	13.25
nothor	5855.65	480.83	839.13	38.80	190.76	5.00
numbes	7445.89	970.00	1029.69	150.20	274.68	10.50
nummed	7995.45	818.83	2250.99	228.20	307.89	21.50
nummes	7596.31	975.33	1083.29	155.40	168.11	13.25
nummon	3502.58	347.67	675.65	45.00	211.63	7.25
objece	4239.95	313.17	464.00	19.20	65.78	2.75
obtace	4870.77	353.67	427.15	28.60	64.34	3.75
occent	4734.06	379.17	595.58	37.40	302.33	12.25
offail	2225.25	233.83	326.19	18.40	113.71	4.50
offans	4561.77	567.17	366.20	44.80	104.83	7.75
offect	3593.90	271.83	531.35	19.20	316.58	7.75
offies	8056.19	954.67	1082.83	145.20	265.04	15.50
olders	4919.65	642.00	603.93	83.60	280.20	38.50
opents	4123.55	596.00	595.86	72.00	238.27	12.00
orgure	5292.31	407.33	746.04	29.80	221.49	7.00
othern	3703.97	306.83	535.40	42.80	288.76	3.50
oxfory	3645.40	293.50	719.14	29.00	369.75	3.00
oxyget	5745.31	592.67	476.47	57.80	54.47	2.50
pacial	6163.73	618.17	756.52	66.40	265.49	9.00
pallen	8654.10	929.83	1225.86	132.40	427.38	27.25
pamily	7954.43	716.33	1224.41	95.40	294.82	9.75
papear	6191.30	650.83	454.06	55.60	115.34	5.25
papper	8748.35	929.17	1767.26	198.00	170.49	28.00
parber	9544.00	999.83	1947.91	201.60	192.04	15.50
parder	9840.26	1019.00	2193.30	226.20	318.15	28.75
pareet	10290.90	1029.00	1150.13	105.00	290.87	12.00
parest	7057.67	657.83	1104.45	109.60	230.49	27.00
parger	9741.38	1016.83	2081.40	223.60	286.13	24.25
pasher	9242.22	946.17	2163.41	204.60	583.10	32.50
pasuld	8387.45	699.67	828.89	54.60	335.54	3.75
pattem	9096.59	901.67	1736.88	119.80	475.29	26.25
peages	10217.89	1176.17	1633.37	188.80	60.24	15.25
pelays	6560.25	761.00	807.97	50.20	181.51	9.75
peoper	10234.61	931.33	2427.82	173.80	731.69	14.00
peoply	7799.56	599.83	2019.08	62.80	1080.80	2.75
peread	8574.19	739.50	984.07	57.80	231.20	9.25
perelf	7652.25	597.17	1269.92	67.00	353.27	8.00
perica	7043.93	588.83	1110.02	67.40	239.10	9.50
periff	6565.96	546.50	863.14	62.40	178.82	9.75
perind	9960.32	810.17	2157.15	131.80	413.92	16.25
pering	8430.92	680.83	2528.94	177.20	1258.23	79.00
persed	11056.99	1033.17	2709.37	263.40	366.46	23.00
perset	9941.51	934.83	1171.91	102.40	201.32	13.25
perves	10404.32	1157.67	1408.63	175.00	232.93	21.50
phosed	9499.70	884.17	2571.52	242.20	262.35	18.75
phould	7899.35	556.00	1523.28	30.60	888.54	4.00
phount	6487.07	452.17	1475.34	41.20	647.00	5.25
phreal	5297.63	486.83	760.02	53.20	124.85	7.00
piable	7183.45	612.33	978.57	79.60	120.01	14.25
pictim	4481.63	444.17	217.21	36.40	57.11	4.00
